"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",4.6807725,5.1394773505
6,"ABCO",4.736632,5.505776915
11,"ABCO",7.515564,8.60228985
12,"ABCO",1.957741,2.764403796
16,"ABCO",7.624731,9.553299294
17,"ABCO",1.947883,2.916809881
21,"ABCO",7.746554,10.69337808
22,"ABCO",1.91162,3.169380383
27,"ABCO",1.844621,3.181020797
32,"ABCO",1.844835,2.799051717
1,"ABMA",96.5086266666667,100.076744556667
6,"ABMA",97.1483666666667,102.221860276667
11,"ABMA",97.8800166666667,102.775325386667
16,"ABMA",98.5963433333333,102.899446646667
21,"ABMA",99.3862666666667,103.130730016667
1,"CADE",12.08846,13.1540029005
6,"CADE",12.24981,13.7723047315
11,"CADE",24.97403,29.41467906
12,"CADE",0,0.017887485
16,"CADE",25.33973,30.98351713
17,"CADE",0,0.042952741
21,"CADE",25.64526,31.68296924
22,"CADE",0,0.085254385
27,"CADE",0,0.148603178
32,"CADE",0,0.216574835
1,"PICO",1.5398545,1.543846643
5,"PICO",0,0.0113883
6,"PICO",3.037693,3.184661911
10,"PICO",0,0.019037311
11,"PICO",3.005576,2.60727196
15,"PICO",0,0.022427097
16,"PICO",3.000446,2.703773272
19,"PICO",0,0.035197701
21,"PICO",2.963602,2.627467735
24,"PICO",0,0.051995836
29,"PICO",0,0.103346859
1,"PIJE",15.54862,15.83738287
6,"PIJE",15.33003,14.92477556
12,"PIJE",15.21341,13.46417268
17,"PIJE",15.06102,13.35851674
22,"PIJE",14.83564,12.63317314
27,"PIJE",14.70223,11.72548106
32,"PIJE",14.51832,12.12494237
1,"PILA",0.7224301,1.4180149595
6,"PILA",0.67116545,1.4939058055
11,"PILA",0.5720407,1.975410591
12,"PILA",0.7635499,0.179119109
16,"PILA",0.5720643,2.307715687
17,"PILA",0.6997955,0.219019786
21,"PILA",0.5617154,2.568946796
22,"PILA",0.6934673,0.253735251
27,"PILA",0.6181793,0.194133601
32,"PILA",0.5909324,0.219090472
1,"PIMO",4.31164496,4.08326161275
5,"PIMO",16.5996,13.13276843
6,"PIMO",0.03796715,0.062236929
10,"PIMO",16.05802,11.28814029
11,"PIMO",0.0645306,0.088721533
12,"PIMO",0,0.017907905
15,"PIMO",15.90788,10.35106306
16,"PIMO",0.07048145,0.094445528
17,"PIMO",0,0.020867293
19,"PIMO",15.58053,13.83382276
21,"PIMO",0.0694209,0.0986591995
24,"PIMO",15.38988,14.94168915
29,"PIMO",15.04529,15.37918129
1,"PIPO",15.83825,17.41989711
6,"PIPO",13.61222,11.30799599
11,"PIPO",11.79439,11.61260396
16,"PIPO",10.132684,11.66155637
21,"PIPO",8.625149,12.04379013
1,"QUCH",0.06728268,0.083079612
6,"QUCH",0.06552883,0.037016687
11,"QUCH",0.06598225,0.021007879
16,"QUCH",0.06175042,0.023558513
21,"QUCH",0.05774202,0.017660504
1,"QUKE",7.5177349,7.682445076
6,"QUKE",7.5615817,7.443045731
11,"QUKE",15.09185,14.90333257
12,"QUKE",0.1246985,0.237522239
16,"QUKE",15.10674,15.42906912
17,"QUKE",0.1284628,0.262400569
21,"QUKE",15.12838,15.31791852
22,"QUKE",0.1409234,0.296468865
27,"QUKE",0.1543424,0.33389224
32,"QUKE",0.1667527,0.387661659
